P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.47012699999999796,1,2443,1220,810,15070,66,81,0.086,61,201,80,82,5079000.0,302814.0,339,Usada
92,1,0.4856332999999964,1,7932,1600,1030,20000,67,80,0.088,61,646,79,81,6467000.0,368631.0,361,Usada
102,1,0.48807680000000175,2,18895,2552,7280,20000,85,128,0.456,76,2410,128,127,45510000.0,18541000.0,347,Usada
97,1,0.5059699999999978,1,384,74,40,919,66,81,0.088,61,31,80,80,305976.0,19118.0,394,Usada
102,1,0.50732,1,14633,1491,950,20000,71,75,0.088,61,1089,74,74,5987000.0,345538.0,438,Usada
92,1,0.5084092999999967,2,13405,2546,7410,20000,88,127,0.456,76,1733,123,129,46316000.0,19287000.0,205,Usada
102,1,0.527655799999998,1,18410,1558,1020,20000,68,78,0.086,61,1429,81,77,6428000.0,379689.0,413,Usada
102,1,0.5287408000000013,2,9514,2443,7950,20000,89,122,0.454,76,1154,122,121,49669000.0,22510000.0,199,Usada
87,1,0.5479892999999976,1,0,412,270,5427,65,76,0.086,61,1,75,1000,1738000.0,104767.0,441,Usada
92,1,0.5490714999999966,2,12233,2471,6710,20000,86,124,0.448,76,1490,126,121,41933000.0,15820000.0,244,Usada
102,1,0.5538507999999993,1,0,124,70,2219,62,56,0.086,61,1,55,1000,484127.0,20696.0,465,Usada
102,1,0.5565033000000028,1,1092,249,160,3488,66,71,0.086,61,90,66,82,1009000.0,58014.0,370,Usada
102,1,0.5604220999999967,1,0,20,10,349,62,57,0.086,61,1,54,1000,79910.0,3702.0,573,Usada
102,1,0.5612157999999994,1,398,131,90,2081,68,63,0.086,61,31,59,77,564189.0,36155.0,335,Usada
97,1,0.5637267999999978,1,8133,1044,650,16076,68,65,0.084,61,524,65,64,4074000.0,212220.0,361,Usada
102,1,0.569414799999997,2,7270,2457,5840,20000,87,123,0.436,75,887,123,122,36517000.0,12290000.0,202,Usada
92,1,0.5802339999999973,1,351,78,50,989,62,79,0.084,61,27,80,76,331352.0,18897.0,413,Usada
97,1,0.581668999999998,1,425,70,40,1091,64,64,0.084,61,21,73,49,285694.0,14805.0,360,Usada
92,1,0.5832067999999992,1,78,67,40,1090,62,61,0.082,61,6,60,76,251961.0,10736.0,412,Usada
92,1,0.5847483000000011,1,3842,343,200,5929,64,58,0.082,61,232,53,60,1285000.0,57621.0,430,Usada
