P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
0.03289473684210531,1,0.0,2,0.7363677332131591,0.4112100576217916,0.218052738336714,1.0,0.21428571428571397,0.05882352941176472,0.0,0.0,0.49363250454821106,0.19672131147540983,0.006696428571428575,0.21753246753246755,0.07169216632609006,0.2760736196319018,Muy Usada
0.33333333333333304,1,0.0027335999999991145,1,0.6693091164517586,0.6003787878787881,0.2027027027027027,1.0,0.2666666666666666,0.3999999999999999,0.0,0.0,0.5408306112925805,0.4857142857142853,0.015086206896551727,0.20173197661831566,0.0951666219880507,0.7534883720930231,Muy Usada
0.09868421052631582,1,0.020344099999999088,2,0.8985028291021981,0.5735987427972762,0.41784989858012167,1.0,0.35714285714285676,0.31932773109243684,0.06535947712418302,0.21739130434782616,0.7868405093996361,0.43442622950819665,0.04464285714285714,0.41806818181818184,0.2099609790071085,0.08588957055214719,Muy Usada
0.33333333333333304,1,0.02306729999999746,1,0.8984496512969746,0.7253787878787881,0.39729729729729735,1.0,0.5333333333333332,0.6000000000000001,0.078125,0.23809523809523814,0.7909472701819878,0.6285714285714286,0.02370689655172413,0.39528036371508984,0.24638655295044856,0.4744186046511628,Muy Usada
0.09868421052631582,1,0.04068529999999981,2,0.748335085874518,0.7032477737035097,0.7606490872210954,1.0,0.5357142857142856,0.5294117647058824,0.17647058823529416,0.43478260869565233,0.7559126743480897,0.6475409836065573,0.06919642857142856,0.760762987012987,0.6048473338673053,0.5644171779141105,Muy Usada
0.33333333333333304,1,0.04341229999999996,1,0.9433545732778085,0.8087121212121213,0.7756756756756756,1.0,0.6666666666666661,0.714285714285714,0.1875,0.4285714285714288,0.8693420438637425,0.7428571428571424,0.029094827586206892,0.7761853214981598,0.675915505790451,0.3534883720930232,Muy Usada
0.03289473684210531,1,0.06102679999999694,2,0.11406539482249262,0.7878470403352542,0.8772819472616633,1.0,0.6071428571428568,0.6638655462184874,0.28104575163398704,0.5652173913043477,0.1255306246209824,0.6967213114754098,0.08705357142857144,0.8774512987012987,0.7871906621467608,0.29447852760736204,Muy Usada
0.33333333333333304,1,0.06374729999999929,1,0.050022577893733385,0.8342803030303032,0.9027027027027027,1.0,0.7999999999999998,0.7714285714285714,0.296875,0.5714285714285716,0.04759682687820812,0.7714285714285714,0.033405172413793094,0.9034856029443603,0.8787608097022941,0.35813953488372097,Muy Usada
0.09868421052631582,1,0.08135899999999907,2,0.2521656401782585,0.7943949711891043,0.8549695740365112,1.0,0.6428571428571428,0.6722689075630252,0.35947712418300665,0.6521739130434785,0.2968465736810188,0.680327868852459,0.10044642857142856,0.8550324675324675,0.7359257421908747,0.7791411042944787,Muy Usada
0.33333333333333304,1,0.08408579999999688,1,0.5721238272038534,0.8390151515151516,0.8594594594594595,0.9998438719750196,0.7333333333333334,0.7714285714285714,0.390625,0.666666666666667,0.5314979001399907,0.7999999999999998,0.029094827586206892,0.85975319333189,0.7741938361644658,0.20465116279069762,Muy Usada
0.09868421052631582,1,0.101687799999997,2,0.8223423964748886,0.7768465165007858,0.8975659229208925,1.0,0.5,0.6470588235294118,0.42483660130718964,0.6956521739130435,0.9284414796846574,0.598360655737705,0.09151785714285714,0.897435064935065,0.819281170482783,0.5521472392638036,Muy Usada
0.33333333333333304,1,0.104417999999999,1,0.7054337464251669,0.8276515151515151,1.0,1.0,0.7999999999999998,0.7428571428571429,0.453125,0.7142857142857144,0.6570228651423239,0.7714285714285714,0.03017241379310344,1.0,1.0,0.06046511627906981,Muy Usada
0.09868421052631582,1,0.12202429999999966,2,0.9196334685293676,0.7561550550026193,0.8711967545638946,1.0,0.5357142857142856,0.6134453781512604,0.48366013071895436,0.7391304347826089,1.0,0.7377049180327868,0.08370535714285714,0.8713149350649351,0.7502799197785228,0.24539877300613488,Muy Usada
0.33333333333333304,1,0.12475429999999932,1,0.14454869299081832,0.8664772727272727,0.927027027027027,1.0,0.7999999999999998,0.7999999999999998,0.53125,0.7619047619047619,0.13812412505832944,0.8285714285714283,0.033405172413793094,0.927127083784369,0.8764208494552937,0.013953488372092981,Muy Usada
