SNE1,SNE2,SNE3,Herramienta
-8.633262,6.2408795,-10.341718,H1
-8.657784,7.00186,-10.058275,H1
1.1445405,-8.718905,-12.062249,H1
8.092429,1.9511791,-11.031277,H1
-9.764652,3.2255945,-12.3312435,H1
-9.880834,3.3063715,-12.354565,H1
-14.140012,4.5328135,-10.725194,H1
-15.509061,5.598477,-10.602813,H1
-15.699193,5.9272127,-10.413602,H1
-8.609372,7.1620336,-8.8201,H1
-15.62369,6.0148153,-10.248911,H1
-16.002401,6.5077868,-9.816608,H1
-14.236237,5.7341266,-9.080061,H1
-15.7163925,7.6006045,-9.124155,H1
6.208829,-14.178123,-5.7961907,H1
-12.762083,6.499242,-7.3574686,H1
8.066565,-13.332613,-6.0968566,H1
6.6296554,-12.798725,-7.932938,H1
8.052923,-14.029329,-6.6148915,H1
-15.086997,5.7472773,-6.2146645,H1
7.1293297,-13.20454,-7.310683,H1
7.34086,-14.120258,-6.594748,H1
-12.396066,6.629318,-6.916802,H1
7.2351646,-13.763885,-7.21272,H1
6.010324,-14.299442,-6.803385,H1
6.9069476,-14.075261,-6.076079,H1
-9.704504,6.5558686,-7.296236,H1
5.537197,-13.415515,-7.005953,H1
6.579128,-14.390378,-5.773197,H1
8.319738,-13.965371,-6.6329,H1
-11.543856,6.146124,-6.8165603,H1
5.5625663,-13.455936,-6.922323,H1
7.1710324,-12.657966,-6.9303083,H1
-12.304085,6.5946555,-6.9377704,H1
5.598952,-13.713324,-6.391653,H1
8.351352,-12.437546,-5.280782,H1
7.3359885,-12.584776,-6.696072,H1
-14.878362,5.6210456,-5.9996567,H1
7.272744,-12.729135,-6.339182,H1
5.6977215,-13.710759,-6.386542,H1
7.772868,-12.657639,-5.7588673,H1
7.712755,-13.091256,-5.9521623,H1
7.473277,-13.144956,-6.967324,H1
-14.84121,5.5578337,-5.950502,H1
7.2016673,-12.462371,-7.0091047,H1
7.286192,-12.162835,-6.988599,H1
6.599409,-11.913513,-7.373046,H1
-10.907287,2.4874933,-6.7784786,H1
8.371264,-12.367066,-4.887571,H1
7.7775927,-12.407445,-4.6091623,H1
7.435901,-12.00314,-3.629209,H1
-15.633401,5.733837,-10.814061,H1
7.405108,-12.10394,-4.015886,H1
4.6042256,-6.02177,-4.84034,H1
-10.312544,3.9628243,-11.8422575,H1
5.5174146,-7.306111,-4.0593824,H1
5.5093584,-12.630449,-3.75446,H1
4.7399893,-6.068119,-4.516575,H1
-10.914658,1.807942,-6.6767793,H1
4.8222065,-5.904721,-4.495489,H1
4.937093,-6.2179365,-4.061634,H1
7.2831764,-12.013433,-3.7678413,H1
5.5756483,-7.1571994,-3.7339325,H1
5.5014133,-7.285543,-3.7170823,H1
6.087098,-12.127102,-2.791795,H1
5.63971,-12.529083,-3.4589076,H1
4.8006964,-6.202402,-4.199863,H1
5.8658547,-12.222085,-2.8587015,H1
4.410678,-6.75324,-4.4623957,H1
6.9767194,-11.6853285,-2.0486777,H1
6.288032,-11.24681,-4.177724,H1
5.274661,-7.7234836,-3.543483,H1
4.6901193,-6.6415052,-3.887832,H1
7.168103,-11.6336775,-2.4967165,H1
4.903379,-11.807976,-3.6559293,H1
5.383448,-11.919456,-3.0092034,H1
6.070984,-11.060406,-4.13018,H1
4.8105774,-11.577501,-3.5103686,H1
5.85476,-10.849305,-4.233346,H1
4.719376,-11.025337,-3.329288,H1
4.5931034,-11.353224,-3.5028336,H1
3.638633,-11.280119,-2.9349437,H1
6.919647,-11.314024,-12.185183,H1
6.8146095,-11.199483,-12.245708,H1
-15.984432,7.435406,-9.712467,H1
-16.7034,2.5841386,-11.2683115,H1
-14.683965,-5.186587,-8.708344,H1
-16.59139,11.774093,-5.127399,H1
-13.091216,8.954349,-1.7757338,H1
-16.48606,11.835543,-5.1043983,H1
-14.833689,11.174957,-2.1817272,H1
-15.04939,10.640736,-3.699905,H1
-14.32354,11.046421,-1.7707182,H1
-15.974282,11.962738,-5.468912,H1
-12.657672,9.152957,-1.5420707,H1
-14.1513405,11.045148,-1.829226,H1
-12.034964,9.293795,-1.2262545,H1
-15.344952,12.31014,-5.740056,H1
-11.886771,9.2972765,-1.049595,H1
-13.403113,10.750066,-1.5544212,H1
-15.246784,12.269341,-5.7450604,H1
-13.2065325,11.055197,-4.536457,H1
-10.027073,7.7594886,1.1510754,H1
-12.852407,0.5109325,-3.611974,H1
-14.252665,-0.08413832,-3.8648846,H1
-12.582866,0.25841242,-3.7357776,H1
-21.592926,0.9807025,-4.6695094,H1
-14.831113,-0.16961515,-4.075145,H1
-15.549301,-0.13845807,-4.5201526,H1
-14.119225,-0.20226853,-3.8180187,H1
-14.9775505,-0.16808501,-4.207699,H1
-13.181897,-0.172763,-3.5047271,H1
-14.474064,-0.28809088,-4.0540447,H1
-12.259647,-0.4167311,-4.1648445,H1
-17.007793,0.13659677,-6.2779474,H1
-11.830108,-0.70661753,-4.3669934,H1
-16.962482,1.1080234,-6.6479163,H1
-15.660611,-0.07189528,-6.7972126,H1
-12.346517,-0.8640027,-6.5902157,H1
-12.345648,-0.95316124,-6.5457745,H1
-15.121959,-0.38483778,-7.5462003,H1
-14.796714,0.57067096,-13.032082,H1
-11.499968,-3.0623488,-8.3547125,H1
-10.407856,-1.5816991,-7.6197534,H1
-9.803875,0.6076085,-7.788331,H1
3.7531807,-12.8357115,-6.406465,H1
3.73068,-12.81986,-6.394325,H1
3.7651293,-12.788473,-6.2937636,H1
4.9800296,-13.180264,-4.293489,H1
3.7615998,-12.798756,-6.3325286,H1
-9.468273,2.5179596,-12.006063,H1
-9.447372,2.5291471,-11.983354,H1
9.246573,-12.527388,-6.7537575,H1
8.895061,-12.331371,-9.0927305,H1
9.056101,-12.321694,-9.435038,H1
-10.743649,-0.4745249,-9.988893,H1
3.4284472,-11.690071,-11.480555,H1
3.477187,-11.759562,-11.514268,H1
3.9371557,-11.3500595,-11.317705,H1
6.062694,-9.877294,-10.979728,H1
6.6447825,-9.039662,-12.217792,H1
6.3902392,-10.512688,-10.815328,H1
6.1157203,-9.90155,-11.092717,H1
2.9217439,-10.856698,-13.109301,H1
5.4465346,-9.885071,-10.24202,H1
3.6851203,-10.591241,-12.15819,H1
5.870201,-9.45792,-10.939798,H1
6.076583,-9.659936,-12.338398,H1
3.1092439,-11.0752735,-11.428564,H1
3.4046662,-10.634453,-10.630726,H1
5.9283333,-9.054517,-11.393128,H1
2.826153,-11.385129,-11.534456,H1
6.7167106,-7.378954,-12.450641,H1
2.943322,-10.691514,-12.58972,H1
2.9829085,-10.620177,-12.18826,H1
6.130252,-8.067477,-12.607246,H1
5.80533,-8.562693,-12.93192,H1
4.962633,-9.063962,-12.438108,H1
5.347505,-8.693196,-12.735335,H1
4.9108605,-9.181109,-12.534682,H1
6.010221,-7.897548,-12.143261,H1
5.977827,-7.3586307,-12.406356,H1
4.8207364,-8.740231,-13.203438,H1
5.012712,-8.260539,-12.210189,H1
8.278126,1.6873193,-11.54627,H1
5.023616,-8.1341305,-12.84146,H1
5.5270863,-7.653343,-12.673286,H1
5.8144035,-7.5814867,-13.759252,H1
5.7969136,-7.6274433,-13.404474,H1
5.315141,-7.822897,-14.1179495,H1
5.0131903,-7.80218,-13.459263,H1
4.0437827,-7.6126966,-13.806226,H1
2.055779,-9.816182,-11.971275,H1
-11.966926,3.879633,-11.73453,H1
4.8292923,-7.4354215,-12.12177,H1
4.1335,-7.619187,-13.832662,H1
4.117319,-7.628896,-13.73692,H1
9.069295,-12.324427,-11.322985,H1
3.1076267,-12.304308,-11.290597,H1
-11.935764,3.944235,-11.732796,H1
-12.14179,3.1195462,-12.487026,H1
6.749546,-10.920261,-11.158765,H1
6.4892116,-10.396839,-11.775019,H1
-14.248402,5.7906938,-9.069838,H1
-15.669964,7.972968,-8.759733,H1
-13.041271,6.8282566,-7.3283014,H1
-9.852216,6.6061063,-7.390249,H1
-9.523199,5.7185717,-5.4153805,H1
-10.396217,5.6294928,-6.1408014,H1
-11.013962,5.9378695,-6.4468946,H1
-9.777056,5.631054,-5.6194324,H1
3.0175812,-5.546767,-11.269908,H1
3.7292354,-5.907891,-11.135864,H1
-10.782892,9.617883,-9.495109,H1
-10.332343,5.380288,-6.1281853,H1
-11.0733385,9.901596,-9.519928,H1
-14.494194,8.990782,-10.0402565,H1
-10.041078,4.4695334,-6.3102407,H1
