ID,Tiempo,PARA1,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,THR,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,P_FRQ
1,5.8280272,0.0012,1,59,50,80,514,78,97,0.002,31,4,50,101,67,552965.0,138797.0,195,97
1,5.828132,0.0012,2,11,24,20,275,72,87,0.0,25,2,50,83,181,153415.0,22306.0,206,107
1,14.2883718,0.0012,1,0,1,0,0,50,0,0.002,31,1,50,0,1000,61.0,8.71,1084,1123
1,17.8053462,0.0018,1,0,1,0,0,51,0,0.002,31,1,50,0,1000,61.0,18.064,1061,976
1,18.6327977,0.0018,1,0,1,0,0,50,0,0.002,31,1,50,0,1000,61.0,13.603,1033,996
1,18.7462048,0.0012,1,0,2,0,0,51,0,0.002,31,1,50,1000,1000,183.0,24.442,1072,976
1,18.7528615,0.0018,1,0,1,0,0,51,0,0.002,31,1,50,0,1000,91.5,15.481,1029,791
1,18.7728298,0.0012,1,0,1,0,0,50,0,0.002,31,1,50,0,1000,91.5,12.136,1045,708
1,18.7794855,0.0024,1,0,1,0,0,50,0,0.002,31,1,50,0,1000,61.0,11.476,1036,708
1,18.9033832,0.0018,1,0,1,0,0,50,0,0.002,31,1,50,0,1000,61.0,12.563,1026,1030
1,19.9000005,0.0018,1,0,2,0,1,52,2000,0.002,31,1,50,1000,1000,244.0,16.058,1018,791
1,19.9066565,0.0024,1,0,2,0,0,51,0,0.002,31,1,50,1000,1000,183.0,24.147,1047,976
1,19.9867847,0.0024,1,0,1,0,0,51,0,0.002,31,1,50,0,1000,91.5,21.809,1053,1049
1,20.0134088,0.0018,1,0,2,0,1,53,2000,0.002,31,1,50,1000,1000,366.0,23.24,1022,791
1,20.040033,0.0018,1,0,1,0,1,50,1000,0.002,31,1,50,0,1000,366.0,9.397,1058,1074
1,20.046689,0.0018,1,0,1,0,0,51,0,0.002,31,1,50,0,1000,91.5,18.18,1058,976
1,20.08205,0.0012,2,0,1,0,0,50,0,0.0,25,1,50,0,1000,91.5,61.283,599,131
1,20.0890437,0.0018,2,39,9,0,119,59,76,0.0,26,3,50,75,76,24248.0,960.408,367,92
1,20.0896225,0.0024,2,135,25,10,382,54,65,0.0,26,11,50,56,81,64813.0,2115.0,396,102
1,20.0907237,0.0024,2,14706,2296,3170,20000,76,115,0.022,50,1629,50,126,110,19812000.0,3481000.0,275,92
1,20.090923,0.0024,1,0,7,0,110,52,64,0.002,31,1,50,54,1000,19855.0,667.273,611,92
1,20.0917403,0.0024,1,183,16,0,334,56,48,0.002,31,11,50,33,60,57980.0,1814.0,514,87
1,20.0925122,0.0024,1,213,26,10,383,61,68,0.002,31,15,50,65,70,105225.0,5462.0,405,92
1,20.0934573,0.0018,1,13340,1763,1750,20000,71,88,0.01,44,1160,50,90,86,10962000.0,1041000.0,367,92
1,20.1110678,0.0024,2,17944,2916,5140,20000,80,146,0.042,55,2596,50,155,144,32165000.0,8673000.0,244,102
1,20.113791,0.0018,1,17907,1895,2470,20000,75,95,0.02,49,1696,50,95,94,15432000.0,2075000.0,307,92
1,20.131409,0.0018,2,14945,3411,8520,20000,85,171,0.076,60,2494,50,181,166,53275000.0,23501000.0,322,102
1,20.134136,0.0018,1,18802,1983,3870,20000,77,99,0.034,53,1864,50,99,99,24229000.0,5012000.0,281,92
1,20.1517505,0.0024,2,2278,3734,9670,20000,87,187,0.108,63,415,50,187,182,60463000.0,30348000.0,278,92
1,20.154471,0.0012,1,997,2010,4340,20000,79,101,0.048,56,103,50,100,103,27169000.0,6399000.0,282,92
1,20.1720827,0.0018,2,5036,3759,9450,20000,88,188,0.132,65,980,50,185,194,59082000.0,28423000.0,357,102
1,20.1748095,0.0018,1,11403,2015,4180,19999,78,101,0.06,58,1140,50,101,99,26159000.0,5684000.0,249,92
1,20.1924115,0.0018,2,16423,3692,9870,20000,84,185,0.152,66,3063,50,175,186,61694000.0,31553000.0,320,102
1,20.1951417,0.0031,1,14060,2003,4700,20000,79,100,0.068,59,1409,50,100,100,29398000.0,7228000.0,218,92
1,20.212748,0.0018,2,18366,3613,9610,20000,85,181,0.17,67,3299,50,192,179,60085000.0,28962000.0,270,102
1,20.215478,0.0018,1,2881,2044,4430,20000,79,102,0.078,60,297,50,102,103,27715000.0,6383000.0,208,92
1,20.2330915,0.0024,2,3862,3851,10690,20000,88,193,0.188,68,708,50,194,183,66794000.0,36171000.0,287,102
1,20.23581,0.0018,1,5025,2017,4330,20000,77,101,0.088,62,518,50,100,103,27106000.0,6046000.0,216,92
1,20.2534248,0.0024,2,765,3803,10880,20000,88,190,0.208,69,148,50,190,193,68012000.0,38339000.0,298,102
1,20.2561425,0.0031,1,9070,2060,4250,20000,82,103,0.094,62,942,50,102,103,26605000.0,6222000.0,280,92
1,20.2737568,0.0018,2,7334,3623,10410,20000,87,181,0.222,70,1359,50,178,185,65036000.0,34620000.0,274,131
1,20.2764783,0.0024,1,12486,2035,4310,20000,81,102,0.102,63,1284,50,99,102,26968000.0,6309000.0,254,92
1,20.2940922,0.0012,2,6951,3802,10150,20000,86,190,0.238,70,1289,50,192,185,63423000.0,32523000.0,267,102
1,20.2968197,0.0018,1,492,2083,3880,19999,78,104,0.106,63,50,50,104,101,24241000.0,4973000.0,224,92
1,20.3144272,0.0031,2,12964,4049,10540,20000,87,202,0.252,71,2612,50,204,201,65854000.0,35644000.0,286,102
