P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.427574700000001,2,1244,164,2215,64,74,0.1,63,90,76,72,581025.0,26683.0,311,Nueva
102,1,0.430222999999998,2,3720,525,8252,65,64,0.1,63,235,63,63,1855000.0,77599.0,312,Nueva
92,1,0.43892129999999696,2,1418,516,7072,65,73,0.1,63,116,70,81,1939000.0,97552.0,278,Nueva
92,1,0.4465781999999976,2,2731,263,3643,63,72,0.1,63,203,65,74,892339.0,40312.0,281,Nueva
102,1,0.4473831999999973,1,8578,2457,20000,79,123,0.408,75,1090,119,127,21796000.0,4467000.0,244,Nueva
92,1,0.45065569999999866,2,1210,249,4283,65,58,0.1,63,70,58,57,911462.0,37641.0,302,Nueva
92,1,0.45537519999999887,2,4173,351,5159,68,68,0.1,63,281,70,67,1278000.0,61668.0,292,Nueva
102,1,0.46096899999999863,2,312,33,688,57,48,0.1,63,18,40,57,118584.0,3732.0,392,Nueva
92,1,0.46209619999999774,2,272,254,3487,64,73,0.1,63,24,71,88,941017.0,45935.0,278,Nueva
102,1,0.4660159999999962,2,278,50,794,62,63,0.1,63,19,60,68,169763.0,7023.0,334,Nueva
92,1,0.46724600000000294,2,0,130,2140,64,61,0.1,63,1,60,1000,433375.0,16070.0,305,Nueva
92,1,0.46771919999999767,1,2303,2507,20000,79,125,0.408,75,299,124,129,19740000.0,3524000.0,263,Nueva
92,1,0.4698245000000014,2,1239,212,3279,65,65,0.1,63,67,71,54,733616.0,30533.0,295,Nueva
92,1,0.47361029999999715,2,253,53,901,60,59,0.1,63,19,52,75,184739.0,7069.0,353,Nueva
92,1,0.47495250000000055,2,0,28,463,61,60,0.1,63,1,58,1000,97936.0,3835.0,331,Nueva
92,1,0.4760339999999985,2,138,209,3742,62,56,0.1,63,6,56,43,716506.0,25369.0,322,Nueva
92,1,0.4802205000000015,2,0,261,4397,64,59,0.1,63,1,59,1000,964563.0,40612.0,413,Nueva
102,1,0.48506650000000207,2,71,56,825,63,68,0.1,63,6,66,84,204533.0,10202.0,304,Nueva
92,1,0.48633869999999746,2,1802,138,1992,60,69,0.1,63,131,36,72,466650.0,19386.0,302,Nueva
87,1,0.48805550000000153,1,16497,2372,20000,77,119,0.41,75,1953,119,118,19073000.0,3383000.0,256,Nueva
92,1,0.4888286999999991,2,1827,127,2071,60,61,0.1,63,110,69,60,501786.0,23666.0,309,Nueva
102,1,0.49136250000000103,2,212,41,859,58,48,0.1,63,13,43,61,146126.0,4599.0,336,Nueva
102,1,0.49267619999999823,2,2832,216,3643,61,59,0.1,63,171,55,60,808433.0,33114.0,303,Nueva
92,1,0.4967614999999981,2,88,49,728,61,67,0.1,63,9,62,102,180926.0,7945.0,320,Nueva
92,1,0.4979251999999974,2,0,61,712,66,86,0.1,63,1,84,1000,246349.0,13742.0,291,Nueva
92,1,0.499108200000002,2,129,35,580,57,60,0.1,63,8,60,62,108245.0,3583.0,349,Nueva
92,1,0.5002884999999964,2,212,47,766,60,61,0.1,63,13,61,61,164914.0,6540.0,337,Nueva
92,1,0.5015032000000019,2,290,137,2029,65,68,0.1,63,11,72,37,507063.0,23963.0,311,Nueva
92,1,0.5041696999999985,2,160,59,859,58,69,0.1,63,7,74,43,200111.0,8077.0,338,Nueva
102,1,0.5054765000000003,2,362,78,1013,64,77,0.1,63,32,70,88,297375.0,16298.0,288,Nueva
102,1,0.5069251999999977,2,289,50,669,61,75,0.1,63,22,73,76,194285.0,10063.0,306,Nueva
92,1,0.5080379999999991,2,141,62,1067,61,58,0.1,63,9,57,63,212677.0,8018.0,321,Nueva
87,1,0.5083877000000001,1,15310,2410,19998,79,121,0.406,75,1846,120,120,19546000.0,3577000.0,276,Nueva
92,1,0.5095372999999981,2,0,142,2029,62,70,0.1,63,1,69,1000,530944.0,24450.0,343,Nueva
92,1,0.5119837000000018,2,279,69,901,63,77,0.1,63,26,69,93,296368.0,17025.0,295,Nueva
102,1,0.5133202999999966,2,312,38,498,61,76,0.1,63,25,69,80,167720.0,9854.0,264,Nueva
102,1,0.5144760000000019,2,424,34,860,57,40,0.1,63,17,39,40,128923.0,3874.0,379,Nueva
92,1,0.5157706999999974,2,1577,200,3180,63,63,0.1,63,94,66,59,708729.0,29413.0,330,Nueva
102,1,0.5194164999999984,2,0,1,0,50,0,0.1,63,1,0,1000,244.0,179.42,351,Nueva
92,1,0.5198541999999975,2,62,43,613,62,70,0.1,63,5,68,80,153690.0,7059.0,302,Nueva
92,1,0.5209022000000019,2,272,122,1999,62,61,0.1,63,23,57,84,485529.0,22411.0,299,Nueva
92,1,0.523359499999998,2,1678,199,3336,64,60,0.1,63,102,58,60,725717.0,30355.0,272,Nueva
92,1,0.5272811999999973,2,323,51,570,63,89,0.1,63,29,89,89,210481.0,13112.0,302,Nueva
92,1,0.5283331999999987,2,390,61,1226,60,50,0.1,63,16,53,41,258884.0,11480.0,321,Nueva
97,1,0.5287234999999981,1,18039,2461,20000,78,123,0.4,75,2196,135,121,19358000.0,3637000.0,315,Nueva
92,1,0.5299934999999962,2,0,44,774,57,57,0.1,63,1,55,1000,138562.0,4281.0,362,Nueva
92,1,0.5312029999999979,2,254,203,3472,64,58,0.1,63,20,56,78,787327.0,35703.0,326,Nueva
92,1,0.5351100000000031,2,0,43,529,72,81,0.1,63,1,79,1000,185623.0,10904.0,370,Nueva
92,1,0.5361885000000015,2,491,64,953,61,67,0.1,63,31,71,63,263093.0,13836.0,303,Nueva
102,1,0.5375811999999982,2,248,40,858,54,47,0.1,63,18,36,72,136488.0,3829.0,355,Nueva
92,1,0.5388884999999988,2,235,55,790,62,70,0.1,63,21,61,89,200293.0,9449.0,287,Nueva
92,1,0.5401191999999995,2,1351,134,2168,62,62,0.098,62,87,57,64,501084.0,21702.0,306,Nueva
92,1,0.5427409999999995,2,394,61,1008,59,61,0.098,62,32,47,81,211701.0,7902.0,352,Nueva
102,1,0.5441845000000001,2,0,55,769,62,72,0.098,62,1,70,1000,187423.0,7949.0,390,Nueva
102,1,0.5453904999999963,2,259,36,661,58,54,0.098,62,21,37,81,131424.0,4686.0,319,Nueva
92,1,0.5465104999999966,2,4262,282,4853,65,58,0.096,62,243,65,57,1233000.0,65614.0,295,Nueva
92,1,0.5490592999999961,1,1539,2291,19999,78,115,0.388,74,163,115,105,17544000.0,2973000.0,346,Nueva
102,1,0.5518080000000012,2,246,41,762,59,54,0.096,62,19,42,77,147254.0,5544.0,319,Nueva
92,1,0.5530151999999973,2,263,20,364,58,55,0.096,62,13,69,49,74511.0,2883.0,324,Nueva
102,1,0.553822199999999,2,0,1,0,50,0,0.096,62,1,0,1000,244.0,193.671,338,Nueva
92,1,0.5542556999999988,2,0,33,387,67,85,0.096,62,1,82,1000,140513.0,8375.0,503,Nueva
92,1,0.5551329999999979,2,641,136,2263,59,60,0.096,62,38,60,59,498980.0,20274.0,305,Nueva
92,1,0.5580342000000016,2,298,35,522,61,67,0.096,62,18,76,60,120872.0,5140.0,348,Nueva
102,1,0.558999,2,15,4,36,52,111,0.096,62,2,95,133,7656.0,355.828,345,Nueva
102,1,0.5594706999999985,2,241,47,707,60,66,0.096,62,23,51,95,167171.0,6995.0,317,Nueva
102,1,0.5606101999999993,2,294,26,493,58,53,0.096,62,14,60,47,88938.0,3045.0,362,Nueva
92,1,0.5617570000000001,2,497,149,2560,62,58,0.096,62,30,57,60,583740.0,26291.0,293,Nueva
102,1,0.5647579999999977,2,50,15,217,59,69,0.096,62,5,59,100,53101.0,2429.0,363,Nueva
92,1,0.5657064999999974,2,1583,130,2187,63,59,0.096,62,92,62,58,527864.0,24176.0,295,Nueva
102,1,0.568348499999999,2,1482,196,3424,63,57,0.094,62,69,65,46,771711.0,34528.0,297,Nueva
87,1,0.5693881999999988,1,2937,2358,19998,77,118,0.376,74,375,116,127,17831000.0,3030000.0,239,Nueva
102,1,0.5722122999999968,2,21,33,402,58,82,0.094,62,3,78,142,112515.0,5131.0,305,Nueva
92,1,0.5730464999999967,2,678,75,1308,64,57,0.094,62,41,53,60,340197.0,18556.0,348,Nueva
92,1,0.5747829999999965,2,178,68,1042,61,65,0.094,62,15,61,84,243756.0,10313.0,349,Nueva
107,1,0.5762569999999982,2,0,24,487,60,49,0.094,62,1,47,1000,84088.0,2708.0,365,Nueva
102,1,0.5772304999999989,2,285,49,924,59,53,0.094,62,17,50,59,170556.0,6031.0,317,Nueva
92,1,0.5785865000000001,2,202,56,719,58,78,0.094,62,16,77,79,173545.0,6946.0,323,Nueva
92,1,0.579758499999997,2,77,36,590,60,61,0.094,62,5,60,64,134139.0,5679.0,324,Nueva
92,1,0.580782499999998,2,651,74,1232,63,60,0.092,62,47,46,72,316743.0,16874.0,299,Nueva
102,1,0.5824581999999978,2,122,62,906,60,68,0.092,62,9,67,73,227957.0,10140.0,303,Nueva
102,1,0.5837962000000019,2,0,27,609,61,44,0.092,62,1,42,1000,101809.0,3300.0,357,Nueva
92,1,0.584928699999999,2,17,36,391,61,92,0.092,62,3,88,176,128314.0,6698.0,272,Nueva
